Key,P/E Ratio
Reliance Industries Limited,27.472559
Tata Consultancy Services Limited,31.367704
HDFC Bank Limited,15.330371
ICICI Bank Limited,17.22073
Infosys Limited,28.104649
Hindustan Unilever Limited,56.320587
Bharti Airtel Limited,87.81083
ITC Limited,26.956785
State Bank of India,8.475985
Life Insurance Corporation Of India,15.938085
Larsen & Toubro Limited,37.271034
Bajaj Finance Limited,29.774372
HCL Technologies Limited,27.271784
Kotak Mahindra Bank Limited,20.805273
Axis Bank Limited,25.133287
Asian Paints Limited,51.582146
Titan Company Limited,97.12048
Adani Enterprises Limited,147.56668
Maruti Suzuki India Limited,28.279634
UltraTech Cement Limited,44.56256
Sun Pharmaceutical Industries Limited,37.88886
NTPC Limited,17.339796
Bajaj Finserv Limited,33.566105
Avenue Supermarts Limited,101.41678
Tata Motors Limited,22.128464
Oil & Natural Gas Corporation Limited,7.2348814
Nestle India Limited,80.07139
Adani Green Energy Limited,195.7638
Wipro Limited,22.005136
Coal India Limited,8.932572
Adani Ports and Special Economic Zone Limited,41.528107
Power Grid Corporation of India Limited,15.793225
JSW Steel Limited,17.424475
Adani Power Limited,11.206314
Bajaj Auto Limited,29.280771
Hindustan Aeronautics Limited,33.202816
LTIMindtree Limited,34.668797
Indian Oil Corporation Limited,4.400529
DLF Limited,83.07892
Varun Beverages Limited,83.626305
Jio Financial Services Limited,5048.0
SBI Life Insurance Company Limited,76.86427
Siemens Limited,74.53513
Grasim Industries Limited,21.182209
HDFC Life Insurance Company Limited,82.80676
Hindalco Industries Limited,15.100449
Pidilite Industries Limited,74.51618
Bharat Electronics Limited,37.50511
Hindustan Zinc Limited,16.128622
Indian Railway Finance Corporation Limited,36.61638
Britannia Industries Limited,48.788025
Power Finance Corporation Limited,8.19544
IndusInd Bank Limited,13.818255
Tech Mahindra Limited,41.35161
Bank of Baroda,7.1916265
Adani Energy Solutions Limited,102.07456
Godrej Consumer Products Limited,73.32262
InterGlobe Aviation Limited,21.04736
Eicher Motors Limited,30.12792
REC Limited,9.932677
Adani Total Gas Limited,183.5649
Trent Limited,176.29546
GAIL (India) Limited,14.156479
Tata Power Company Limited,34.874443
Cholamandalam Investment and Finance Company Limited,29.572573
Punjab National Bank,17.150072
Divi's Laboratories Limited,72.68642
Ambuja Cements Limited,62.64412
SHREE CEMENT LIMITED,47.569675
TATA CONSUMER PRODUCTS LIMITED,82.156364
Cipla Limited,30.21228
ABB India Limited,79.76925
Dabur India Limited,56.227184
Macrotech Developers Limited,63.409225
Bharat Petroleum Corporation Limited,3.7416294
Dr. Reddy's Laboratories Limited,19.123005
TVS Motor Company Limited,57.967754
Vedanta Limited,21.309523
Union Bank of India,7.662957
Havells India Limited,69.55556
Bajaj Holdings & Investment Limited,15.726973
Hero MotoCorp Limited,28.274567
Polycab India Limited,38.650745
Apollo Hospitals Enterprise Limited,130.23924
Indian Overseas Bank,38.272057
United Spirits Limited,60.439285
Mankind Pharma Limited,69.24704
Canara Bank,6.2043796
Torrent Pharmaceuticals Limited,63.22345
Shriram Finance Limited,13.610401
ICICI Prudential Life Insurance Company Limited,81.37224
Jindal Steel & Power Limited,8.004852
SRF Limited,46.39168
IDBI Bank Limited,17.570564
SBI Cards and Payment Services Limited,28.847244
Indian Railway Catering And Tourism Corporation Limited,72.48307
Marico Limited,47.224667
Berger Paints (I) Limited,63.754227
ICICI Lombard General Insurance Company Limited,40.56733
Zydus Lifesciences Limited,27.351458
CG Power and Industrial Solutions Limited,78.614456
Samvardhana Motherson International Limited,40.851063
Colgate Palmolive (India) Limited,54.13927
Tube Investments of India Limited,83.57696
HDFC Asset Management Company Limited,43.18149
Bharat Heavy Electricals Limited,1083.3334
JSW Energy Limited,49.214214
Max Healthcare Institute Limited,74.018425
Bosch Limited,32.8342
NHPC Limited,22.457003
Aurobindo Pharma Limited,27.060905
IDFC First Bank Limited,18.616072
The Indian Hotels Company Limited,63.978004
Alkem Laboratories Limited,40.486614
Yes Bank Limited,68.28571
NMDC Limited,11.264367
Solar Industries India Limited,71.16934
Lupin Limited,51.83904
Muthoot Finance Limited,13.721012
Supreme Industries Limited,48.081146
Bharat Forge Limited,85.80251
Patanjali Foods Limited,64.86369
Persistent Systems Limited,61.68302
Indian Bank,8.566874
Hindustan Petroleum Corporation Limited,3.906407
Procter & Gamble Hygiene and Health Care Limited,75.209175
Godrej Properties Limited,99.078674
L&T Technology Services Limited,46.288883
MRF Limited,35.689312
Tata Elxsi Limited,59.80199
Cummins India Limited,43.458805
General Insurance Corporation of India,9.760519
Indus Towers Limited,10.5644
PI Industries Limited,34.637997
Ashok Leyland Limited,24.00412
AU Small Finance Bank Limited,26.813766
Oberoi Realty Limited,29.397482
Container Corporation of India Limited,45.922234
Fertilizers and Chemicals Travancore Limited,106.56688
Suzlon Energy Limited,150.625
MphasiS Limited,30.694723
Bank of India,11.073876
Astral Limited,89.74822
Steel Authority of India Limited,15.294872
Tata Communications Limited,49.804207
Schaeffler India Limited,52.88687
Balkrishna Industries Limited,37.89269
FSN E-Commerce Ventures Limited,2331.4285
Linde India Limited,118.69561
UCO Bank,33.724136
Prestige Estates Projects Limited,29.03203
United Breweries Limited,188.22026
Jindal Stainless Limited,15.609621
Adani Wilmar Limited,548.2031
Mazagon Dock Shipbuilders Limited,33.985554
Torrent Power Limited,23.247124
UPL Limited,23.035635
JSW Infrastructure Limited,46.231422
Central Bank of India,21.192171
Aditya Birla Capital Limited,7.8259854
Page Industries Limited,80.64767
Dalmia Bharat Limited,38.921314
APL Apollo Tubes Limited,57.706882
3M India Limited,71.18999
ACC Limited,58.147556
KPIT Technologies Limited,76.80856
Gujarat Fluorochemicals Limited,43.847584
Oil India Limited,8.055197
The Phoenix Mills Limited,45.525856
UNO Minda Limited,57.556202
Dixon Technologies (India) Limited,117.370636
Sundaram Finance Limited,25.78674
Bandhan Bank Limited,14.2997465
Coforge Limited,55.14614
The Federal Bank Limited,8.592745
Rail Vikas Nigam Limited,41.967556
Sona BLW Precision Forgings Limited,75.359276
Jubilant Foodworks Limited,140.19553
Coromandel International Limited,18.239904
Thermax Limited,70.92265
Oracle Financial Services Software Limited,26.207645
Kalyan Jewellers India Limited,69.449066
SJVN Limited,48.869736
NLC India Limited,18.9252
AIA Engineering Limited,33.778397
The New India Assurance Company Limited,41.785717
Metro Brands Limited,89.748955
Deepak Nitrite Limited,38.424107
Poonawalla Fincorp Limited,24.642859
Petronet LNG Limited,11.374144
Escorts Kubota Limited,34.3785
Max Financial Services Limited,61.296803
Honeywell Automation India Limited,76.956696
Voltas Limited,124.702736
GlaxoSmithKline Pharmaceuticals Limited,58.249676
Bank of Maharashtra,10.630885
Gujarat Gas Limited,31.877403
CRISIL Limited,49.88694
Gland Pharma Limited,46.721622
Fortis Healthcare Limited,58.80854
Bharat Dynamics Limited,65.666664
Star Health and Allied Insurance Company Limited,43.2765
Vedant Fashions Limited,58.58293
ZF Commercial Vehicle Control Systems India Limited,72.067894
Lloyds Metals And Energy Limited,22.151926
BSE Limited,48.557938
Biocon Limited,64.89183
LIC Housing Finance Limited,8.317702
KEI Industries Limited,51.788
Indraprastha Gas Limited,15.80036
Angel One Limited,27.118118
JK Cement Limited,49.750507
Punjab & Sind Bank,31.358381
Apollo Tyres Limited,20.931007
IPCA Laboratories Limited,57.50516
Syngene International Limited,59.919743
K.P.R. Mill Limited,34.27395
Tata Chemicals Limited,12.543567
Sun TV Network Limited,13.845422
Nippon Life India Asset Management Limited,33.113575
Motherson Sumi Wiring India Limited,59.27966
Endurance Technologies Limited,53.77125
Exide Industries Limited,32.604877
Kansai Nerolac Paints Limited,24.393064
Ajanta Pharma Limited,41.97941
Hindustan Copper Limited,88.057236
Zee Entertainment Enterprises Limited,138.65854
Sundram Fasteners Limited,51.45816
Grindwell Norton Limited,68.28496
Global Health Limited,78.48068
360 ONE WAM LIMITED,31.521185
CREDITACCESS GRAMEEN LIMITED,18.951843
Cyient Limited,32.64013
Hatsun Agro Product Limited,105.13514
Housing & Urban Development Corporation Limited,23.03132
JB Chemicals & Pharmaceuticals Limited,54.683647
IRB Infrastructure Developers Limited,78.43373
Godrej Industries Limited,33.81609
Emami Limited,31.457413
Narayana Hrudayalaya Ltd.,37.64844
Timken India Limited,69.74984
Apar Industries Limited,29.065353
National Aluminium Company Limited,21.18876
The Ramco Cements Limited,63.76292
Ratnamani Metals & Tubes Limited,37.64775
Aarti Industries Limited,52.18167
Devyani International Limited,121.81507
Mangalore Refinery and Petrochemicals Limited,7.1603203
ICICI Securities Limited,18.699316
Laurus Labs Limited,112.17579
IIFL Finance Limited,12.8898115
SKF India Limited,46.830517
Relaxo Footwears Limited,108.17369
Hitachi Energy India Limited,240.49117
Radico Khaitan Limited,94.143265
Tata Investment Corporation Limited,84.69277
Dr. Lal Path Labs Ltd.,68.95448
Five-Star Business Finance Limited,31.454092
Bata India Limited,64.90881
Carborundum Universal Limited,46.56276
Gillette India Limited,54.98832
Atul Limited,51.79967
Sonata Software Limited,44.638065
Kajaria Ceramics Limited,55.12605
Brigade Enterprises Limited,78.130806
Aster DM Healthcare Limited,75.674255
PNB Housing Finance Limited,15.280417
IDFC Limited,30.101522
Sumitomo Chemical India Limited,54.721466
Crompton Greaves Consumer Electricals Limited,45.795456
BIRLASOFT LIMITED,41.755665
Cholamandalam Financial Holdings Limited,14.389393
Pfizer Limited,40.113907
Blue Star Limited,48.14506
Navin Fluorine International Limited,45.217747
Central Depository Services (India) Limited,58.96939
Sanofi India Limited,33.925648
Trident Limited,50.489132
Motilal Oswal Financial Services Limited,14.262618
Suven Pharmaceuticals Limited,38.9351
Affle (India) Limited,61.5408
Vinati Organics Limited,43.359787
CIE Automotive India Limited,22.338448
Cochin Shipyard Limited,55.820576
Castrol India Limited,23.003641
R R Kabel Limited,56.577488
Jyothy Labs Limited,57.16535
CESC Limited,13.179681
Blue Dart Express Limited,52.66435
Whirlpool of India Limited,85.99105
JBM Auto Limited,153.27103
Gujarat State Petronet Limited,13.414318
Elgi Equipments Limited,48.2718
Century Plyboards (India) Limited,46.12149
RBL Bank Limited,13.564885
Kaynes Technology India Limited,136.13692
Clean Science and Technology Limited,56.885338
Finolex Cables Limited,25.915995
Indiamart Intermesh Limited,53.720882
Ircon International Limited,24.31915
DCM Shriram Limited,25.974749
Shyam Metalics and Energy Limited,17.573824
Aptus Value Housing Finance India Limited,34.096275
Capri Global Capital Limited,76.730156
Krishna Institute of Medical Sciences Limited,50.591057
TVS Holdings Limited,22.368301
EIH Limited,47.9912
Chambal Fertilizers & Chemicals Limited,13.278448
Concord Biotech Limited,49.884956
Fine Organic Industries Limited,31.673456
KEC International Limited,63.599613
NMDC Steel Limited,Infinity
Indian Energy Exchange Limited,38.0
Alembic Pharmaceuticals Limited,54.948246
Natco Pharma Limited,13.926626
Tanla Platforms Limited,25.430323
NBCC (India) Limited,76.98369
Lakshmi Machine Works Limited,35.32542
Manappuram Finance Limited,8.242507
Welspun Corp Limited,19.055016
Chalet Hotels Limited,67.061676
Poly Medicure Limited,60.83847
TITAGARH RAIL SYSTEMS LIMITED,62.589188
Asahi India Glass Limited,38.881775
The Great Eastern Shipping Company Limited,5.6068344
Zensar Technologies Limited,21.173391
Redington Limited,11.347607
AstraZeneca Pharma India Limited,106.747986
Nuvoco Vistas Corporation Limited,51.29683
Bikaji Foods International Limited,84.42197
Century Textiles & Industries Limited,143.67773
Happiest Minds Technologies Limited,54.489285
Himadri Speciality Chemical Limited,43.395786
Karur Vysya Bank Limited,10.71853
Aditya Birla Sun Life AMC Limited,19.198286
Swan Energy Limited,46.806057
Sheela Foam Limited,57.288303
Triveni Turbine Limited,51.053352
BASF India Limited,37.133625
Jindal Saw Limited,10.690302
BLS International Services Limited,91.20044
Jupiter Wagons Limited,68.024055
Ramkrishna Forgings Limited,40.18006
Finolex Industries Limited,28.660597
Computer Age Management Services Limited,45.816895
Alkyl Amines Chemicals Limited,70.39917
Gujarat Mineral Development Corporation Limited,14.236569
Firstsource Solutions Limited,25.634518
WESTLIFE FOODWORLD LIMITED,120.23188
eClerx Services Limited,27.009388
V-Guard Industries Limited,60.55668
Maharashtra Seamless Limited,13.062411
Eris Lifesciences Limited,32.025787
Aegis Logistics Limited,43.647587
Jai Balaji Industries Limited,31.978983
Aavas Financiers Limited,25.605751
Rainbow Childrens Medicare Limited,54.98846
HBL Power Systems Limited,82.17829
RITES Limited,35.170086
Ksb Limited,60.082226
HFCL Limited,57.793297
Syrma SGS Technology Limited,84.854866
Equitas Small Finance Bank Limited,15.161055
Akzo Nobel India Limited,30.140402
Mahanagar Gas Limited,11.179436
BEML Limited,78.66033
Aether Industries Limited,79.673416
Gujarat Narmada Valley Fertilizers and Chemicals Limited,12.261945
Kalpataru Projects International Limited,26.355877
Raymond Limited,7.791971
Intellect Design Arena Limited,36.43538
Craftsman Automation Limited,28.561287
Bajaj Electricals Limited,65.52401
Anupam Rasayan India Limited,46.4928
Vardhman Textiles Limited,20.59277
Ujjivan Small Finance Bank Limited,8.848
Birla Corporation Limited,81.194176
G R Infraprojects Limited,9.602104
Olectra Greentech Limited,157.47949
City Union Bank Limited,11.36256
UTI Asset Management Company Limited,17.154516
Godfrey Phillips India Limited,15.569006
Newgen Software Technologies Limited,61.20482
Railtel Corporation Of India Limited,55.183968
Anand Rathi Wealth Limited,63.691044
Rajesh Exports Limited,9.247673
Graphite India Limited,12.833333
Godrej Agrovet Limited,30.421589
Zydus Wellness Limited,36.1435
Godawari Power And Ispat limited,11.972774
Indiabulls Housing Finance Limited,8.6369705
JK Lakshmi Cement Limited,30.56706
Amber Enterprises India Limited,97.76025
RattanIndia Enterprises Limited,80.93457
Supreme Petrochem Limited,30.40724
C.E. Info Systems Limited,81.26882
NCC Limited,21.745037
Data Patterns (India) Limited,70.506355
Elecon Engineering Company Limited,37.52543
Chennai Petroleum Corporation Limited,4.2139697
Can Fin Homes Limited,14.967991
Caplin Point Laboratories Limited,25.57717
TTK Prestige Limited,47.507713
Praj Industries Limited,33.590263
Cera Sanitaryware Limited,46.34788
ROUTE MOBILE LIMITED,25.816576
Garden Reach Shipbuilders & Engineers Limited,38.162586
EID Parry India Limited,11.801543
Action Construction Equipment Limited,48.898136
Galaxy Surfactants Limited,27.541391
Ingersoll Rand (India) Limited,46.825794
Granules India Limited,25.288345
CEAT Limited,15.845394
JK Tyre & Industries Limited,23.429789
Schneider Electric Infrastructure Limited,68.03314
Engineers India Limited,28.135391
Gujarat State Fertilizers & Chemicals Limited,10.8943405
Anant Raj Limited,49.48899
Jaiprakash Power Ventures Limited,50.416664
SBFC Finance Limited,46.145832
Kirloskar Oil Engines Limited,27.727272
Lemon Tree Hotels Limited,84.63415
PCBL LIMITED,24.917648
JM Financial Limited,17.429245
Latent View Analytics Limited,64.19445
Sobha Limited,126.73163
Safari Industries (India) Limited,59.857693
Prism Johnson Limited,55.716614
Minda Corporation Limited,34.87102
Esab India Limited,53.957344
Sapphire Foods India Limited,44.568783
Usha Martin Limited,27.482864
PNC Infratech Limited,18.372335
MMTC Limited,68.75
Medplus Health Services Limited,144.6875
Sarda Energy & Minerals Limited,15.284375
Rashtriya Chemicals and Fertilizers Limited,18.324553
TV18 Broadcast Limited,266.30435
Balaji Amines Limited,39.190872
Mastek Limited,31.37324
Techno Electric & Engineering Company Limited,62.472397
Metropolis Healthcare Limited,62.83706
KRBL Limited,12.654169
Deepak Fertilizers and Petrochemicals Corporation Limited,10.918079
Rategain Travel Technologies Limited,85.25188
CCL Products (India) Limited,31.798767
Campus Activewear Limited,79.51327
VIP Industries Limited,101.35058
Maharashtra Scooters Limited,43.34763
Varroc Engineering Limited,53.633457
Surya Roshni Limited,23.187063
Mahindra Lifespace Developers Limited,836.7911
Gujarat Ambuja Exports Limited,29.924866
Balrampur Chini Mills Limited,14.614806
ION Exchange (India) Limited,30.254337
Kfin Technologies Limited,47.04494
Home First Finance Company India Limited,31.319202
Procter & Gamble Health Limited,37.042263
Prince Pipes And Fittings Limited,37.56822
Responsive Industries Limited,72.54831
PTC Industries Limited,313.18164
The Karnataka Bank Limited,5.8859587
Jubilant Ingrevia Limited,33.215385
Glenmark Life Sciences Limited,20.200424
Man Infraconstruction Limited,27.73629
Spandana Sphoorty Financial Limited,14.916717
Archean Chemical Industries Limited,19.600748
Laxmi Organic Industries Limited,71.77419
Tamilnad Mercantile Bank Limited,7.386195
Chemplast Sanmar Limited,216.41891
Allcargo Logistics Limited,22.261236
Electronics Mart India Limited,54.121284
Sandur Manganese & Iron Ores Limited,29.486147
Mishra Dhatu Nigam Limited,69.71351
Quess Corp Limited,32.145123
Tega Industries Limited,39.23275
Mahindra Holidays & Resorts India Limited,123.221886
Shoppers Stop Limited,120.94661
Shipping Corporation Of India Limited,12.161664
Gravita India Limited,25.779522
Triveni Engineering & Industries Limited,17.706253
Gujarat Pipavav Port Limited,25.551624
HEG Limited,15.678188
Edelweiss Financial Services Limited,16.226192
Marksans Pharma Limited,22.466766
Keystone Realtors Limited,48.664337
Vesuvius India Limited,39.568604
Star Cement Limited,26.576319
PDS Limited,37.034206
CSB Bank Limited,11.745068
GMM Pfaudler Limited,38.248096
Isgec Heavy Engineering Limited,29.373585
KNR Constructions Limited,14.429618
Easy Trip Planners Limited,55.714287
Saregama India Limited,36.22574
Jupiter Life Line Hospitals Limited,67.59048
Indigo Paints Limited,51.563293
Kirloskar Brothers Limited,24.046371
Religare Enterprises Limited,2.2370775
Vijaya Diagnostic Centre Limited,65.21782
JK Paper Limited,5.968212
Ujjivan Financial Services Limited,8.055309
Rolex Rings Limited,32.878727
Garware Technical Fibres Limited,35.633564
Arvind Limited,24.311163
Just Dial Limited,20.880013
Greenlam Industries Limited,45.97613
VRL Logistics Limited,42.73487
Mtar Technologies Limited,60.36894
Neuland Laboratories Limited,30.041626
Power Mech Projects Limited,33.999607
Go Fashion (India) Limited,69.22201
Zen Technologies Limited,64.71712
