Key,P/E Ratio
Renaissance Global Limited,14.895151
Kamdhenu Limited,34.70359
Ambika Cotton Mills Limited,12.68166
Ice Make Refrigeration Limited,43.726166
Sree Rayalaseema Hi-Strength Hypo Limited,7.3372006
Magadh Sugar & Energy Limited,10.015293
GPT Infraprojects Limited,25.097528
S Chand And Company Limited,21.723707
Dynamic Cables Limited,31.069767
E2E Networks Limited,69.21141
Radiant Cash Management Services Limited,18.56701
Prakash Pipes Limited,14.987125
Century Enka Limited,26.17908
Gandhi Special Tubes Limited,19.889797
MSP Steel & Power Limited,65.102036
Yuken India Limited,95.88072
Hind Rectifiers Limited,165.10324
Eimco Elecon (India) Limited,25.173958
The Ugar Sugar Works Limited,13.078817
HP Adhesives Limited,67.03297
Sreeleathers Limited,30.6
Orient Paper & Industries Limited,11.237425
Speciality Restaurants Limited,15.132275
Jubilant Industries Limited,20.046022
TruCap Finance Limited,294.4231
Tamilnadu PetroProducts Limited,12.9389305
Vimta Labs Limited,24.98633
D P Wires Limited,18.175016
Windlas Biotech Limited,21.80217
Dharmaj Crop Guard Limited,21.139767
Indo Amines Limited,23.798077
Silver Touch Technologies Limited,78.44482
GKW Limited,72.92783
Associated Alcohols & Breweries Ltd.,18.68811
Munjal Auto Industries Limited,38.603775
Entertainment Network (India) Limited,94.26923
BEML Land Assets Limited,Infinity
Royal Orchid Hotels Limited,22.289309
Cheviot Company Limited,13.863723
Walchandnagar Industries Limited,23.149273
Manaksia Limited,7.632336
The Hi-Tech Gears Limited,9.013822
PAKKA LIMITED,26.666668
Birla Cable Limited,22.10672
Kothari Petrochemicals Limited,14.758221
Sakar Healthcare Limited,57.794518
Tribhovandas Bhimji Zaveri Limited,16.852793
The Sandesh Limited,9.421455
Hexa Tradex Limited,15.511534
Brand Concepts Limited,80.97209
Vinyl Chemicals (India) Limited,36.661
Oriental Carbon & Chemicals Limited,17.77845
DMCC SPECIALITY CHEMICALS LIMITED,87.69972
The State Trading Corporation of India Limited,27.009203
Crest Ventures Limited,20.997625
De Nora India Limited,33.69671
Swelect Energy Systems Limited,48.93084
Deccan Cements Limited,21.091345
Dynacons Systems & Solutions Limited,18.855354
Mold-Tek Technologies Limited,23.010248
The Ruby Mills Limited,23.119658
Dhanlaxmi Bank Limited,12.25
Urja Global Limited,1261.6666
Maan Aluminium Limited,16.303843
Menon Bearings Limited,26.245352
Sukhjit Starch & Chemicals Limited,16.984447
Plastiblends India Limited,24.264
Medicamen Biotech Limited,51.83301
Global Surfaces Limited,81.78962
Allied Digital Services Limited,20.27618
Valiant Laboratories Limited,38.35249
Balaji Telefilms Limited,33.731884
Jayant Agro Organics Limited,17.572002
Selan Exploration Technology Limited,29.029396
MIC Electronics Limited,73.65385
Kirloskar Electric Company Limited,45.21672
Elin Electronics Limited,29.719711
Indo Borax & Chemicals Limited,14.033731
Arihant Capital Markets Limited,22.338234
Dhunseri Investments Limited,6.5772996
SEMAC CONSULTANTS LIMITED,261.599
Emami Paper Mills Limited,7.711087
Bhageria Industries Limited,41.47355
Eldeco Housing And Industries Limited,20.016224
VLS Finance Limited,4.758639
Shree Pushkar Chemicals & Fertilisers Limited,18.56221
Pyramid Technoplast Limited,21.331394
Chembond Chemicals Ltd,16.445953
Indo Tech Transformers Limited,29.937046
Apex Frozen Foods Limited,53.99602
Medico Remedies Limited,89.838715
Mallcom (India) Limited,17.178713
N R Agarwal Industries Limited,6.7716537
Salzer Electronics Limited,22.097229
Axita Cotton Limited,40.298508
Oswal Greentech Limited,58.013695
Hindustan Media Ventures Limited,64.18301
Hindustan Composites Limited,18.63425
Kamat Hotels (I) Limited,2.606116
Automotive Stampings and Assemblies Limited,63.824757
TVS Electronics Limited,149.93562
Arrow Greentech Limited,22.296913
Essar Shipping Limited,0.381847
Iris Clothings Limited,70.916664
Rane Brake Lining Limited,18.86129
Ritco Logistics Limited,22.155478
Vertoz Advertising Limited,57.82889
Lokesh Machines Limited,59.653713
Jindal Poly Investment and Finance Company Limited,2.450608
GRP Limited,51.091908
Khadim India Limited,55.06429
Mirza International Limited,59.132652
Hubtown Limited,52.500004
SBC Exports Limited,84.24242
20 Microns Limited,12.3
Muthoot Capital Services Limited,3.9591591
Race Eco Chain Limited,211.56976
Shreyas Shipping & Logistics Limited,22.30972
Ind-Swift Laboratories Limited,12.256587
Global Education Limited,18.405928
ORIENT CERATECH LIMITED,37.71812
Jindal Photo Limited,3.5259926
The Investment Trust Of India Limited,38.21678
Macpower CNC Machines Limited,64.15646
Kilitch Drugs (India) Limited,49.662163
Stel Holdings Limited,42.120567
Mindteck (India) Limited,24.652128
Orient Bell Limited,60.94463
Music Broadcast Limited,219.44444
Indo-National Limited,10820.0
Osia Hyper Retail Limited,77.44565
ZUARI INDUSTRIES LIMITED,50.418896
Aditya Birla Money Limited,15.50902
Pondy Oxides & Chemicals Limited,14.545625
Munjal Showa Limited,20.031055
International Conveyors Limited,12.177723
Aarti Surfactants Limited,27.200312
B&B Triplewall Containers Limited,25.625
Cybertech Systems And Software Limited,25.202156
Zim Laboratories Limited,28.726542
Ratnaveer Precision Engineering Limited,27.775629
Prime Securities Limited,28.506495
Bedmutha Industries Limited,56.623135
Albert David Limited,13.722714
Kriti Industries (India) Limited,19.896496
Nahar Poly Films Limited,37.93461
Windsor Machines Limited,77.4074
United Drilling Tools Limited,51.21185
Nahar Industrial Enterprises Limited,50.236362
CL Educate Limited,33.107254
PTL Enterprises Limited,30.687498
Wonder Electricals Limited,60.780075
Venus Remedies Limited,20.616476
Diamines & Chemicals Limited,16.811182
W S Industries (I) Limited,28.472223
Gokul Refoils and Solvent Limited,76.73077
Sarveshwar Foods Limited,61.666668
MMP Industries Limited,32.64881
Radhika Jeweltech Limited,18.460365
Oricon Enterprises Limited,64.45205
Chemfab Alkalis Limited,13.435873
Mazda Limited,19.3565
Goa Carbon Limited,8.147753
Prozone Realty Limited,26.448275
Bartronics India Limited,1.2253522
Exxaro Tiles Limited,101.37931
Donear Industries Limited,17.995089
Dolphin Offshore Enterprises (India) Limited,4.330855
Nahar Capital and Financial Services Limited,23.811882
Autoline Industries Limited,165.82278
Pavna Industries Limited,44.103195
Banswara Syntex Limited,6.915743
Megasoft Limited,61.11111
Pudumjee Paper Products Limited,14.474638
NDL Ventures Limited,248.93617
Sigma Solve Limited,43.369568
Orbit Exports Limited,15.157109
GeeCee Ventures Limited,493.75
Vardhman Acrylics Limited,31.305418
Geekay Wires Limited,16.97163
Liberty Shoes Limited,79.18736
Advani Hotels & Resorts (India) Limited,28.962616
Sarla Performance Fibers Limited,34.01099
South West Pinnacle Exploration Limited,78.02691
Vikas EcoTech Limited,52.5
IFB Agro Industries Limited,26.851753
SPML Infra Limited,60.614525
Wealth First Portfolio Managers Limited,21.604692
SIL Investments Limited,16.449457
N. B. I. Industrial Finance Company Limited,71.31618
Oswal Agro Mills Limited,91.416664
MODISON LIMITED,28.401165
Synergy Green Industries Limited,65.632385
Sahyadri Industries Limited,16.65895
AVG Logistics Limited,42.345493
R.P.P. Infra Projects Limited,10.115254
Hitech Corporation Limited,17.233217
Plaza Wires Limited,59.912792
Shyam Century Ferrous Limited,35.985916
Kothari Sugars And Chemicals Limited,11.995797
Shemaroo Entertainment Limited,61.57434
Kriti Nutrients Limited,16.47265
ShreeOswal Seeds And Chemicals Limited,74.799995
UFO Moviez India Limited,141.29465
Nureca Limited,391.68423
Lords Chloro Alkali Limited,23.718596
BPL Limited,6.779975
Sakuma Exports Limited,24.481134
Trigyn Technologies Limited,11.671687
Wanbury Limited,49.749165
Alankit Limited,16.336208
Nupur Recyclers Limited,51.184837
Bhartiya International Limited,8.152657
Industrial Investment Trust Limited,23.248175
KCP Sugar and Industries Corporation Limited,4.612172
TPL Plastech Limited,27.186047
Poddar Pigments Limited,14.173457
Ruchira Papers Limited,6.0392156
Shree Rama Multi-Tech Limited,45.289856
Nath Bio-Genes (India) Limited,11.376776
Apollo Sindoori Hotels Limited,33.89779
Euro India Fresh Foods Limited,290.40817
Remsons Industries Limited,49.966446
VIP Clothing Limited,74.838715
Mawana Sugars Limited,12.332904
Rama Phosphates Limited,31.25523
Kothari Products Limited,32.876568
Anmol India Limited,15.1375
IL&FS Investment Managers Limited,36.470585
Megastar Foods Limited,31.725662
Mahindra EPC Irrigation Limited,444.24243
Rana Sugars Limited,7.6205792
SRG Housing Finance Limited,20.105707
Dynemic Products Limited,62.97385
Star Paper Mills Limited,6.681674
Asahi Songwon Colors Limited,265.04132
Dev Information Technology Limited,44.94382
Inspirisys Solutions Limited,218.7963
Shreyans Industries Limited,4.103746
Nila Infrastructures Limited,157.14285
Uravi T and Wedge Lamps Limited,306.80954
Rudrabhishek Enterprises Limited,26.283068
Ponni Sugars (Erode) Limited,9.323977
Sheetal Cool Products Limited,18.788483
Emkay Global Financial Services Limited,34.550323
Sarthak Metals Limited,18.30595
Starteck Finance Limited,11.585232
Sintercom India Limited,608.3334
Tips Films Limited,13.80043
Premier Polyfilm Limited,20.103405
Airan Limited,34.325844
Career Point Limited,21.080196
Sakthi Sugars Limited,1.3971963
IZMO Limited,16.244635
Pasupati Acrylon Limited,31.014492
Bhagyanagar India Limited,6.146848
Zodiac Clothing Company Limited,49.07666
Mahalaxmi Rubtech Limited,33.22064
Sah Polymers Limited,140.82278
Ravinder Heights Limited,48.83333
Mangalam Organics Limited,65.647064
Harrisons Malayalam Limited,123.93333
Integra Essentia Limited,49.615383
Laxmi Goldorna House Limited,1010.5263
GSS Infotech Limited,78.04246
Manaksia Steels Limited,20.710955
Murudeshwar Ceramics Limited,53.737373
Jayshree Tea & Industries Limited,36.08108
Gujarat Apollo Industries Limited,34.11968
DELPHI WORLD MONEY LIMITED,19.812109
PIL ITALICA LIFESTYLE LIMITED,70.5
Electrotherm (India) Limited,3.0924025
Tembo Global Industries Limited,47.69737
Hindcon Chemicals Limited,32.329193
Pritika Auto Industries Limited,29.149658
Aaron Industries Limited,49.237747
Virinchi Limited,12.70979
Rajnandini Metal Limited,23.358208
Zodiac Energy Limited,71.3941
K.M.Sugar Mills Limited,8.2992325
Elgi Rubber Company Limited,18.235294
Raj Television Network Limited,239.82143
Priti International Limited,27.232895
GP Petroleums Limited,17.290697
TRF Limited,9.028629
Manomay Tex India Limited,24.30052
Superhouse Limited,12.342501
North Eastern Carrying Corporation Limited,33.54839
Baid Finserv Limited,24.017857
Aries Agro Limited,29.54409
Par Drugs And Chemicals Limited,21.905537
Sundaram Brake Linings Limited,44.68663
Rane Engine Valve Limited,49.353073
Kapston Services Limited,27.375923
Iris Business Services Limited,49.673916
Kanpur Plastipack Limited,38.963417
Sejal Glass Limited,29.417475
Ruchi Infrastructure Limited,80.52632
Bodhi Tree Multimedia Limited,21.95967
Asian Hotels (East) Limited,13.498789
Shree Vasu Logistics Limited,110.66372
Lorenzini Apparels Limited,124.984764
The Byke Hospitality Ltd,49.492756
Compucom Software Limited,33.555557
Rajshree Polypack Limited,37.623318
Almondz Global Securities Limited,20.109613
Intense Technologies Limited,20.035112
Mangalam Global Enterprise Limited,18.196722
Hilton Metal Forging Limited,39.361702
Naga Dhunseri Group Limited,6.4012456
Ducon Infratechnologies Limited,69.33333
Maheshwari Logistics Limited,17.274775
Coral India Finance & Housing Limited,10.524535
Softtech Engineers Limited,95.21885
Aarvi Encon Limited,18.31907
IVP Limited,10.119447
Indo Thai Securities Limited,2611.6667
Welspun Investments and Commercials Limited,49.672638
Magnum Ventures Limited,11.503435
Atam Valves Limited,29.73763
Generic Engineering Construction and Projects Limited,17.117834
Country Club Hospitality & Holidays Limited,19.418606
GIR Natureview Resorts Limited,3788.3335
Reliance Chemotex Industries Limited,22.682497
Veto Switchgears And Cables Limited,13.450855
Inventure Growth & Securities Limited,30.0
Bafna Pharmaceuticals Limited,13.370013
Alpa Laboratories Limited,11.443181
BSL Limited,15.559673
Lovable Lingerie Limited,92.46988
Texmo Pipes and Products Limited,27.262997
Udayshivakumar Infra Limited,23.310501
Modi Rubber Limited,12.028688
Dc Infotech And Communication Limited,28.998734
Indiabulls Enterprises Limited,207.14285
Total Transport Systems Limited,215.0
S.A.L. Steel Limited,207.5
Reliance Home Finance Limited,0.035305575
Latteys Industries Limited,95.0
SPL Industries Limited,14.989605
Jocil Limited,25.546307
Tarmat Limited,42.456524
United Polyfab Gujarat Limited,26.48248
Archidply Industries Limited,19.665949
Airo Lam limited,32.485603
Aspinwall and Company Limited,41.899593
Vaishali Pharma Limited,31.875
Kakatiya Cement Sugar & Industries Limited,553.6956
Signet Industries Limited,15.267528
Arvee Laboratories (India) Limited,111.156456
Avonmore Capital & Management Services Limited,22.937744
Jullundur Motor Agency (Delhi) Limited,10.348735
AKI India Limited,168.5294
Rajshree Sugars & Chemicals Limited,10.653206
Manaksia Coated Metals & Industries Limited,44.08537
Emmbi Industries Limited,39.36556
Touchwood Entertainment Limited,66.855896
Weizmann Limited,23.308191
Shah Metacorp Limited,57.857147
Smartlink Holdings Limited,9.626193
DRC Systems India Limited,30.753769
Alphageo (India) Limited,89.74555
Uma Exports Limited,16.848906
Beardsell Limited,17.880795
Intrasoft Technologies Limited,24.47656
Bharat Gears Limited,199.32204
GVP Infotech Limited,24.285713
Niraj Cement Structurals Limited,60.0
RKEC Projects Limited,16.32094
B.A.G Films and Media Limited,19.402985
Lotus Eye Hospital and Institute Limited,41.417522
Worth Peripherals Limited,13.070988
Ahlada Engineers Limited,20.209003
Sikko Industries Limited,48.670517
Prakash Steelage Limited,8.444444
Indbank Merchant Banking Services Limited,32.310123
Amj Land Holdings Limited,23.138298
DJ Mediaprint & Logistics Limited,66.79325
Lambodhara Textiles Limited,24.628206
The United Nilgiri Tea Estates Company Limited,11.784103
SMS Lifesciences India Limited,38.811882
Manaksia Aluminium Company Limited,34.205605
Indian Card Clothing Company Limited,16.948471
Sumit Woods Limited,26.582914
Thomas Scott (India) Limited,42.86517
Bal Pharma Limited,62.98544
Pansari Developers Limited,49.245285
INCREDIBLE INDUSTRIES LIMITED,35.530304
Lagnam Spintex Limited,16.59132
Tirupati Forge Limited,17.263157
Standard Industries Limited,16.4
3rd Rock Multimedia Limited,1615.0
Salona Cotspin Limited,16.63361
AMD Industries Limited,17.65625
R. S. Software (India) Limited,52.483444
Century Extrusions Limited,35.487804
Kalyani Forge Limited,26.781502
Cords Cable Industries Limited,22.957626
Suryalakshmi Cotton Mills Limited,44.675674
Goyal Aluminiums Limited,1005.00006
Art Nirman Limited,1875.0
GTL Limited,2.8661845
Alkali Metals Limited,110.38462
Mahamaya Steel Industries Limited,36.621986
Shradha Infraprojects Limited,7.1725574
Tainwala Chemical and Plastic (I) Limited,25.057661
Anik Industries Limited,56.27907
The Western India Plywoods Limited,45.10896
Pioneer Embroideries Limited,61.534092
Aarey Drugs & Pharmaceuticals Limited,56.182796
Patel Integrated Logistics Limited,29.933334
MITCON Consultancy & Engineering Services Limited,61.05159
Ganges Securities Limited,31.53941
G-TEC JAINX EDUCATION LIMITED,81.26373
Orissa Bengal Carrier Limited,85.97701
Nitiraj Engineers Limited,57.94007
Times Guaranty Limited,57.65306
Crown Lifters Limited,27.925533
Debock Industries Limited,5.4022985
Hindprakash Industries Limited,68.58
BLB Limited,24.817518
DB (International) Stock Brokers Limited,20.939228
Univastu India Limited,21.802841
Aakash Exploration Services Limited,21.860464
Damodar Industries Limited,59.656864
Banka BioLoo Limited,5398.3335
Barak Valley Cements Limited,15.10025
Tokyo Plast International Limited,377.3333
AVRO INDIA LIMITED,34.12776
Steel City Securities Limited,11.5625
Hisar Metal Industries Limited,14.900516
Akshar Spintex Limited,1.4893618
Somi Conveyor Beltings Limited,30.513514
AAA Technologies Limited,37.329315
Bhandari Hosiery Exports Limited,23.04878
Ind-Swift Limited,2.2400992
Panache Digilife Limited,100.9589
Archies Limited,48.0
Teamo Productions HQ Limited,11.5
Celebrity Fashions Limited,17.222223
HEC Infra Projects Limited,68.37607
Agro Phos India Limited,20.945946
HOV Services Limited,41.481483
Cubex Tubings Limited,27.089552
Ausom Enterprise Limited,59.006847
Karma Energy Limited,20.850203
Dhruv Consultancy Services Limited,21.39535
WE WIN LIMITED,36.59794
Atal Realtech Limited,53.83333
Vinny Overseas Limited,125.0
Biofil Chemicals & Pharmaceuticals Limited,196.62161
Golden Tobacco Limited,13.46056
Zenith Exports Limited,31.606766
Ashoka Metcast Limited,20.859377
Vaswani Industries Limited,16.881443
Keynote Financial Services Limited,8.39416
Nagreeka Exports Limited,9.441914
Akg Exim Limited,31.944443
Tera Software Limited,14.652777
Compuage Infocom Limited,2.1325302
Nandani Creation Limited,140.3527
Shrenik Limited,Infinity
Vineet Laboratories Limited,11.108598
Moksh Ornaments Limited,17.061405
Kanani Industries Limited,100.833336
Paras Petrofils Limited,145.00002
Soma Textiles & Industries Limited,0.5312102
ICDS Limited,39.117645
Raj Oil Mills Limited,40.78189
Ganga Forging Limited,93.823524
Banaras Beads Limited,28.868715
Nakoda Group of Industries Limited,700.0
Diligent Media Corporation Limited,0.63106793
Globe Textiles (India) Limited,14.629629
Shekhawati Poly-Yarn Limited,15.588236
Ajooni Biotech Limited,3.453608
Lakshmi Finance & Industrial Corporation Limited,10.400445
HB Stockholdings Limited,3.5460837
Ambica Agarbathies & Aroma industries Limited,12.905661
Archidply Decor Limited,1027.7777
DSJ Keep Learning Limited,126.0
Cyber Media (India) Limited,14.945055
Tantia Constructions Limited,89.34211
Sanginita Chemicals Limited,48.98305
Libas Consumer Products Limited,53.846157
Shree Ram Proteins Limited,10.277778
Sagardeep Alloys Limited,93.59376
TGB Banquets And Hotels Limited,33.020836
Country Condo's Limited,25.0
Ace Integrated Solutions Limited,87.608696
Khandwala Securities Limited,100.3125
GACM Technologies Limited,81.66667
Williamson Magor & Company Limited,5.8154855
Gujarat Raffia Industries Limited,24.082125
Mittal Life Style Limited,46.999996
Narmada Agrobase Limited,78.13953
Kavveri Telecom Products Limited,1.0519724
Uniinfo Telecom Services Limited,23.666666
Khaitan (India) Limited,20.732483
Silgo Retail Limited,12.234848
Vaxtex Cotfab Limited,14.5
Mask Investments Limited,496.57895
Techindia Nirman Limited,24.11043
Digjam Limited,163.1356
Usha Martin Education & Solutions Limited,121.0
Viji Finance Limited,245.00002
Rajdarshan Industries Limited,36.423077
Gujarat Lease Financing Limited,65.416664
Norben Tea & Exports Limited,114.5
Sanco Industries Limited,32.307693
